time_ms,accel_x_mps2,accel_y_mps2,accel_z_mps2
8636432.0,0.99,-6.87,-7.14
8656412.0,0.99,-6.87,-7.14
8676384.0,0.94,-6.82,-7.15
8696988.0,0.98,-6.85,-7.17
8716952.0,0.98,-6.86,-7.1
8736936.0,0.98,-6.84,-7.16
8756900.0,0.95,-6.83,-7.15
8776876.0,0.98,-6.83,-7.14
8796848.0,0.93,-6.84,-7.17
8816832.0,0.96,-6.86,-7.2
8836792.0,0.98,-6.86,-7.19
8856776.0,1.0,-6.85,-7.15
8876752.0,0.98,-6.81,-7.14
8896736.0,0.94,-6.88,-7.14
8916712.0,0.97,-6.84,-7.09
8936684.0,0.97,-6.84,-7.09
8956664.0,0.97,-6.85,-7.16
8976640.0,0.94,-6.85,-7.13
8997232.0,0.96,-6.86,-7.21
9017204.0,0.95,-6.87,-7.13
9037188.0,0.94,-6.87,-7.12
9057156.0,0.96,-6.86,-7.13
9077128.0,0.97,-6.84,-7.17
9097100.0,0.99,-6.87,-7.08
9117084.0,0.98,-6.82,-7.15
9137064.0,0.99,-6.83,-7.18
9157044.0,0.97,-6.84,-7.1
9177020.0,0.96,-6.87,-7.11
9196980.0,0.95,-6.88,-7.17
9216956.0,0.95,-6.81,-7.11
9236928.0,0.95,-6.81,-7.11
9256900.0,0.95,-6.85,-7.17
9277476.0,0.96,-6.84,-7.17
9297456.0,0.97,-6.86,-7.1
9317436.0,0.93,-6.81,-7.11
9337416.0,0.94,-6.83,-7.13
9357388.0,0.92,-6.81,-7.19
9377360.0,0.96,-6.86,-7.14
9397344.0,0.98,-6.8,-7.16
9417316.0,0.93,-6.86,-7.17
9437300.0,0.94,-6.86,-7.14
9457256.0,0.92,-6.83,-7.19
9477244.0,0.95,-6.88,-7.15
9497204.0,0.99,-6.87,-7.15
9517176.0,0.99,-6.87,-7.15
9537132.0,0.94,-6.86,-7.14
9557716.0,0.95,-6.85,-7.14
9577680.0,0.96,-6.83,-7.13
9597656.0,0.97,-6.84,-7.09
9617620.0,1.0,-6.81,-7.14
9637596.0,0.95,-6.82,-7.13
9657560.0,0.93,-6.88,-7.16
9677540.0,0.93,-6.8,-7.15
9697500.0,0.97,-6.85,-7.13
9717480.0,0.97,-6.89,-7.14
9737464.0,0.92,-6.79,-7.13
9757448.0,0.97,-6.84,-7.12
9777424.0,0.98,-6.83,-7.14
9797408.0,0.98,-6.83,-7.14
9817392.0,0.97,-6.82,-7.11
9837980.0,0.99,-6.84,-7.14
9857960.0,1.0,-6.86,-7.15
9877940.0,0.99,-6.85,-7.15
9897920.0,0.93,-6.87,-7.15
9917892.0,0.99,-6.81,-7.2
9937884.0,0.93,-6.84,-7.14
9957872.0,0.96,-6.84,-7.12
9977864.0,0.98,-6.85,-7.13
9997844.0,1.0,-6.86,-7.16
10017816.0,0.94,-6.87,-7.19
10037840.0,0.95,-6.82,-7.13
10057884.0,0.97,-6.86,-7.15
10077912.0,0.99,-6.84,-7.11
10097924.0,0.96,-6.85,-7.1
10117940.0,0.97,-6.86,-7.13
10137972.0,0.94,-6.89,-7.15
10157992.0,0.97,-6.87,-7.15
10178008.0,0.96,-6.81,-7.13
10198044.0,0.97,-6.82,-7.14
10218064.0,1.0,-6.83,-7.18
10238108.0,0.98,-6.84,-7.18
10258116.0,0.95,-6.9,-7.12
10278124.0,0.97,-6.86,-7.15
10298140.0,0.99,-6.85,-7.11
10318168.0,0.97,-6.86,-7.15
10338184.0,0.97,-6.87,-7.21
10358200.0,0.99,-6.87,-7.17
10378228.0,0.94,-6.83,-7.18
10398256.0,0.97,-6.85,-7.15
10418300.0,0.93,-6.82,-7.16
10438316.0,0.95,-6.87,-7.15
10458344.0,0.98,-6.86,-7.09
10478352.0,0.97,-6.86,-7.15
10498368.0,0.96,-6.86,-7.16
10518384.0,0.96,-6.87,-7.13
10538396.0,0.95,-6.89,-7.16
10558408.0,0.97,-6.79,-7.17
